year,originName,gradeName,total_quantity
2009,Africa,Light Sweet,2559851
2009,Algeria,Light Sweet,698243
2009,Angola,Medium,840693
2009,Argentina,Heavy Sweet,115633
2009,Asia-Pacific,Light Sweet,129815
2009,Australia,Light Sweet,18074
2009,Azerbaijan,Light Sweet,223433
2009,Belize,Light Sour,4277
2009,Bolivia,Light Sweet,9611
2009,Brazil,Heavy Sour,638687
2009,Cameroon,Heavy Sweet,81445
2009,Canada,Heavy Sour,2716028
2009,Canada (Region),Heavy Sour,2716028
2009,Chad,Heavy Sweet,165186
2009,China,Heavy Sweet,13734
2009,Colombia,Heavy Sour,510496
2009,Congo-Brazzaville,Light Sweet,146342
2009,Congo-Kinshasa,Medium,23884
2009,Cote d'Ivoire,Medium,2429
2009,Ecuador,Heavy Sour,442211
2009,Egypt,Medium,13454
2009,Equatorial Guinea,Medium,216468
2009,Eurasia,Medium,392532
2009,Europe,Light Sweet,230440
2009,Gabon,Medium,232561
2009,Guatemala,Heavy Sweet,29498
2009,Indonesia,Medium,15120
2009,Iraq,Medium,1124977
2009,Kazakhstan,Light Sour,40439
2009,Kuwait,Medium,341432
2009,Libya,Light Sweet,147553
2009,Malaysia,Light Sweet,8484
2009,Mauritania,Medium,6713
2009,Mexico,Heavy Sour,2427467
2009,Middle East,Medium,3759469
2009,Nigeria,Light Sweet,1162917
2009,Non-OPEC,Heavy Sour,7014938
2009,Norway,Light Sweet,73143
2009,OPEC,Medium,5419799
2009,Oman,Medium,72597
2009,Other Americas,Heavy Sour,6332788
2009,Peru,Heavy Sour,22799
2009,Qatar,Light Sweet,20482
2009,Russia,Medium,385749
2009,Saudi Arabia,Medium,2163182
2009,South Africa,Medium,3619
2009,Syria,Heavy Sweet,3206
2009,Thailand,Light Sweet,37611
2009,Trinidad and Tobago,Light Sweet,68229
2009,United Arab Emirates,Medium,57281
2009,United Kingdom,Light Sweet,157297
2009,Venezuela,Heavy Sour,2281104
2009,Vietnam,Light Sweet,59122
2009,World,Heavy Sour,9458610
2010,Africa,Light Sweet,3104234
2010,Algeria,Light Sweet,794178
2010,Angola,Medium,629839
2010,Argentina,Heavy Sweet,69475
2010,Asia-Pacific,Light Sweet,75103
2010,Australia,Heavy Sweet,21700
2010,Azerbaijan,Light Sweet,161077
2010,Belize,Light Sour,5887
2010,Bolivia,Light Sweet,18186
2010,Brazil,Heavy Sour,505561
2010,Cameroon,Heavy Sweet,126812
2010,Canada,Heavy Sour,2875642
2010,Canada (Region),Heavy Sour,2875642
2010,Chad,Heavy Sweet,46858
2010,China,Heavy Sweet,10185
2010,Colombia,Heavy Sour,673918
2010,Congo-Brazzaville,Light Sweet,161833
2010,Congo-Kinshasa,Medium,22575
2010,Cote d'Ivoire,Medium,13440
2010,Ecuador,Heavy Sour,476952
